dba_name,business_owner_name,naics_code,address_no,address_pd,address_road,address_sfx,address_city,address_zip,zip_6dig
M S ROUSE CO INC THE,M S ROUSE CO INC THE,5617,6490,,MARINDUSTRY,DR,SAN DIEGO,92121-2563,92121
LUDWIG MASONRY,RODNEY J LUDWIG,23541,13631,,PUTNEY,RD,POWAY,92064-4027,92064
CALGON CARBON CORPORATION,CALGON CARBON CORPORATION,5419,400,,CALGON CARBON,DR,PITTSBURGH,15230-0717,15230
LEISURE SPA,CHEN GUIXIANG,812193,7878,,CLAIREMONT MESA,BLVD,SAN DIEGO,92111-1621,92111
VIVID SOFTWARE SOLUTIONS LLC,VIVID SOFTWARE SOLUTIONS LLC,5415,1330,,FIELDBROOK,ST,CHULA VISTA,91913-1802,91913
ONLINE AUTO GROUP INC,ONLINE AUTO GROUP INC,4413,5790,,MIRAMAR,RD,SAN DIEGO,92121-2561,92121
UNICORN JEWELRY,NASSERI FARHAD/ANVARI MINO,44831,16781,,BERNARDO CENTER,DR,SAN DIEGO,92128-2583,92128
STANDARD DRYWALL INC,STANDARD DRYWALL INC,23599,9902,,CHANNEL,RD,LAKESIDE,92040-3042,92040
XUEJUN YAN DMD APC,RUIQIANG ZHUANG & XUEJUN YAN,62121,17137,,MONTEREY RIDGE,CT,SAN DIEGO,92127-8852,92127
MINDFUL PSYCHOTHERAPY INC,MINDFUL PSYCHOTHERAPY INC,6241,6540,,LUSK,BLVD,SAN DIEGO,92121-2696,92121
ROSE CUSTOM SHAPES,ROBERT B DROBACK,453,4377,,TEMECULA,ST,SAN DIEGO,92107-1125,92107
OASIS RELAXATION SYSTEMS,DAVID C WASSERMAN,54161,5412,,GILBERT,DR,SAN DIEGO,92115-3625,92115
FINNCO PATIO & LANDSCAPE,CHRISTOPHER & LETIZIA SULLIVAN,56179,4430,,MOUNT BIGELOW,DR,SAN DIEGO,92111-2518,92111
ALROY DRILLING SERVICES INC,ALROY DRILLING SERVICES INC,23,5563,,ADOBE FALLS,RD,SAN DIEGO,92120-4466,92120
R & I AUTO GLASS,ZUBIATE INCORPORATED,81119,6516,,LOCKFORD,AVE,SAN DIEGO,92139-3820,92139
SHELTER ISLAND SIGN SHOP,JASON J HURST,54143,2330,,SHELTER ISLAND,DR,SAN DIEGO,92106-3128,92106
INNO TECH MANUFACTURING INC ,INNO TECH MANUFACTURING INC,333518,10109,,CARROLL CANYON,RD,SAN DIEGO,92131-1109,92131
MESSER LLC,MESSER LLC,32512,200,,SOMERSET CORPORATE,BLVD,BRIDGEWATER,08807-2862,08807
FLAT HAT SERVICES LLC,FLAT HAT SERVICES LLC,56172,10105,,TOLEDO,RD,SPRING VALLEY,91977-1731,91977
HELLEN MASSAGE,VI HUI XIAO,62135,4372,,CLAIREMONT,DR,SAN DIEGO,92117-5535,92117
COHN CONSULTING,HELEN S COHN,541512,3568,,ARIZONA,ST,SAN DIEGO,92104-4012,92104
E & J  MEDICAL SERVICES,E & J  MEDICAL SERVICES INC,561499,8555,,AERO,DR,SAN DIEGO,92123-1743,92123
MARCON ENGINEERING INC,MARCON ENGINEERING INC,23,876,N,BROADWAY,,ESCONDIDO,92025-1820,92025
JOHNSTON THORP,JOHNSTON THORP APC,54111,180,,BROADWAY,,SAN DIEGO,92101-5062,92101
AQUARIUM ART,WRIGHTSON SHANE E,54199,12985,,DEER CANYON,CT,SAN DIEGO,92131-4219,92131
MESA LIQUOR & WINE CO,KS ATTISHA INC,44531,4919,,CONVOY,ST,SAN DIEGO,92111-1601,92111
ADVANCED MAINTENANCE SYSTEMS INC,ADVANCED MAINTENANCE SYSTEMS,56172,9241,,HARNESS,ST,SPRING VALLEY,91977-4211,91977
BARRERA EXOTIC PAINTING,ALEJANDRINA ARAMBURO & FREDDIE BARRERA,56179,3052,,NATIONAL,AVE,SAN DIEGO,92113-2542,92113
BARNESWORKS LLC,BARNESWORKS LLC,45399,665,,31ST,ST,SAN DIEGO,92102-3212,92102
MASSAGE ENVY,SKY RIVER ENTERPRISES INC,812193,9450,,MIRA MESA,BLVD,SAN DIEGO,92126-4850,92126
LINDSEY R BUZARD & PASCAL G WEBER,LINDSEY R WEBER & PASCAL G WEBER,45439,7845,,WESTSIDE,DR,SAN DIEGO,92108-1251,92108
COOL GREY MATTER,JENNIFER THERIEAU,541,4626,,EDGEWARE,RD,SAN DIEGO,92116-4701,92116
BLACKBURN ESTATE JEWELERS ,BLACKBURN ESTATE JEWELERS INC,522298,249,S,HIGHWAY 101,,SOLANA BEACH,92075-1807,92075
CONTRACTING CONCEPTS INC,CONTRACTING CONCEPTS INC,233,4965,,71ST,ST,SAN DIEGO,92115-1809,92115
REDBOX AUTOMATED RETAIL LLC,REDBOX AUTOMATED RETAIL LLC,812951,191,W,SAN YSIDRO,BLVD,SAN YSIDRO,92173-2555,92173
DR YING LIU OD PC,DR YING LIU OD PC,62132,8831,,VILLA LA JOLLA,DR,LA JOLLA,92037-1949,92037
KAREN'S KRITTERS,KAREN B MONDAY,71151,10915,,PORTOBELO,DR,SAN DIEGO,92124-1182,92124
CHAU TRAN,CHAU TRAN,812114,9330,,MIRA MESA,BLVD,SAN DIEGO,92126-4822,92126
MULUGETA GOBEZIE,MULUGETA M GOBEZIE,485,4443,,KANSAS,ST,SAN DIEGO,92116-4204,92116
LIFE & LOVE BY GIA,GIANINA A JIMENEZ,71151,801,,A,ST,SAN DIEGO,92101-4754,92101
DAPPER & DAMNED,JENNIFER PHOMMACHAK,454112,7031,,WHEATLEY,ST,SAN DIEGO,92111-5613,92111
MVMNT STUDIO,ROBIN TAYLOR,611621,5702,,EL CAJON,BLVD,SAN DIEGO,92115-3737,92115
SAN DIEGO SPORTS MEDICINE & FAMILY HEALTH CNTR,SAN DIEGO SPORTS MEDICINE & FAMILY HEALTH CTR A ME,621111,6699,,ALVARADO,RD,SAN DIEGO,92120-5238,92120
POWER CAB,MUKEMIL S HASSAN,48531,4051,,39TH,ST,SAN DIEGO,92105-1338,92105
SAN DIEGO PAINTBALL PARK LLC,SAN DIEGO PAINTBALL PARK LLC,4539,12971,,CLAYMONT,CT,SAN DIEGO,92130-2431,92130
ASSOCIATES IN FAMILY MEDICINE,MAHSHID MICHELLE HAMIDI MD INC,62111,5222,,BALBOA,AVE,SAN DIEGO,92117-6952,92117
WESTERN FINANCIAL CORP,WESTERN FINANCIAL CORP,52393,600,,B,ST,SAN DIEGO,92101-4508,92101
ARCHITECTURAL SALVAGE,ELIZABETH SCALICE,4539,2401,,KETTNER,BLVD,SAN DIEGO,92101-1215,92101
SAN DIEGO LIQUIDATION AND ESTATE SERVICES,YAHNN KRAVEICHVILI,45411,5290,,MIDDLETON,RD,SAN DIEGO,92109-1522,92109
WINDSAN ENERGY SOLUTION,JOE MOORE CONSTRUCTION INC,23321,3612,,VALLEY,ST,CARLSBAD,92008-2639,92008
BRADY HOLLY,BRADY HOLLY,56179,2253,,CAMINITO PAJARITO,,SAN DIEGO,92107-1928,92107
LINCOLN FINANCIAL ADVISORS CORPORATION,THE LINCOLN NATIONAL LIFE INSURANCE COMPANY,52312,100,N,GREENE,ST,GREENSBORO,27401-2547,27401
MIKES CUSTOM FLOORING INC,MIKES CUSTOM FLOORING INC,23552,1351,W,PARK,AVE,REDLANDS,92373-8181,92373
DE ANDA'S ORIGINAL ART,CARLOS ALBERT DE ANDA,453,11930,,BLACK MOUNTAIN,RD,SAN DIEGO,92129-4909,92129
NAJIB PAGHMANI RENTALS,NAJIBULLAH PAGHMANI,72131,8761,,BLUE LAKE,DR,SAN DIEGO,92119-3512,92119
SOL TRANSPORTATION INC,SOL TRANSPORTATION INC,485999,2525,,RAMONA,DR,VISTA,92084-1632,92084
PROPHETIC,PROPHETIC,8129,2159,,AVENIDA DE LA PLAYA,,LA JOLLA,92037-3240,92037
MIXR LLC,MIXR LLC,4224,1240,,INDIA,ST,SAN DIEGO,92101-8532,92101
EPICSON PRINTING & ADVERTISING / CANDROY,EPICSON INC,3231,8250,,CAMINO SANTA FE,,SAN DIEGO,92121-3254,92121
LANDSCAPE ARMIENTAS,APOLINAR ARMIENTA-CHAVEZ,56173,3641,,CENTRAL,AVE,SAN DIEGO,92105-3318,92105
CYKIC SOFTWARE INC,CYKIC SOFTWARE INC,561499,3739,,29TH,ST,SAN DIEGO,92104-3604,92104
JOANNE MITCHELL ACCOUNTING,JOANNE RENEE MITCHELL,541615,4444,,GREENE,ST,SAN DIEGO,92107-1446,92107
BERNICE'S HAIR SALON,RICCI BERNICE L,812112,3949,,CLAIREMONT,DR,SAN DIEGO,92117-5558,92117
MICHAELS STORES INC #1360,MICHAELS STORES INC,4539,8136,,MIRA MESA,BLVD,SAN DIEGO,92126,92126
PACIFIC CORNERSTONE ARCHITECTS INC,PACIFIC CORNERSTONE ARCHITECTS INC,5413,11750,,SORRENTO VALLEY,RD,SAN DIEGO,92121-1019,92121
VIDA CAFE,MARIA A GALVAN,44529,799,E,SAN YSIDRO,BLVD,SAN YSIDRO,92173-3114,92173
POWERHAUS LLC,POWERHAUS LLC,722211,1727,,DIAMOND,ST,SAN DIEGO,92109-3304,92109
LIFE CYCLE ENGINEERING INC,LIFE CYCLE ENGINEERING INC,5413,4360,,CORPORATE,RD,N CHARLESTON,29405,29405
DYNAMIC SYSTEMS ENGINEERING,BRENNAN C EVELAND & JILL E EVELAND,54133,9889,,CAMINITO MARLOCK,,SAN DIEGO,92131-2014,92131
ARROYO DEL MAR,ARROYO DEL MAR INC,11521,7070,,BLACK MOUNTAIN,RD,SAN DIEGO,92130-1609,92130
PETERSON HILL MARKETING,PETERSON HILL MARKETING INC,54161,1828,,SIENNA CANYON,DR,ENCINITAS,92024,92024
TRI THUONG NGUYEN MD APC,TRI THUONG NGUYEN MD APC,6211,4655,,RUFFNER,ST,SAN DIEGO,92111-2275,92111
RANCHO BERNARDO POOL AND SPA/ RBPS,KOKJOHN THOMAS R & TAMMY S KOKJOHN,54199,11956,,BERNARDO PLAZA,DR,SAN DIEGO,92128-2538,92128
JOHN STUBBS & DENISE DABROWSKI,JOHN STUBBS & DENISE DABROWSKI,71151,1938,,33RD,ST,SAN DIEGO,92102-1222,92102
SNIPS & COLOUR,JOANNE B CORTEZ,81211,1425,,FRAZEE,RD,SAN DIEGO,92108-4347,92108
CHRISTIAN BRUENING FOUNDATION,CHRISTINA MARIA BRUENING CASILLAS,8129,3725,,30TH,ST,SAN DIEGO,92104-3607,92104
ALPINE FENCE INC,ALPINE FENCE INC,23599,2038,,ALPINE,BLVD,ALPINE,91901-2111,91901
BLAST RADIUS COFFEE,PHILLIP ARCIDIACONO,453,4090,,MORENA,BLVD,SAN DIEGO,92117-5242,92117
TIM VALINE CONSTRUCTION INC,TIM VALINE CONSTRUCTION INC,541615,4116,,CASITA,WAY,SAN DIEGO,92115-6838,92115
SWEETS BY NANA,ELIZABETH GERSTEN,72234,2112,,CAMINITO CIRCULO SUR,,LA JOLLA,92037-7215,92037
AMPUTECH INC,AMPUTECH INC,33911,142,,BROADWAY,,SAN DIEGO,92101,92101
GUDINO ELECTRIC,GUDINO RAUL,2353,824,,SANTA ISABEL,DR,SAN DIEGO,92114-6315,92114
JEFFEREY RUCKER ,JEFFEREY RUCKER ,541,5310,,ROSWELL,ST,SAN DIEGO,92114-1707,92114
ASPIRING FAMILIES A PROFESSIONAL CORPORATION,ASPIRING FAMILIES A PROFESSIONAL PSYCHOLOGY CORPOR,621112,12625,,HIGH BLUFF,DR,SAN DIEGO,92130-2053,92130
NILE MIDDLE RIVER LLC,NILE MIDDLE RIVER LLC,454112,1133,,PRIVET,ST,SAN MARCOS,92069-3185,92069
NEROLI WELLNESS STUDIO,DAEJ INC,81211,11800,,CARMEL CREEK,RD,SAN DIEGO,92130-2823,92130
REGUS MANAGEMENT GROUP LLC,REGUS MANAGEMENT GROUP LLC,45,251,,LITTLE FALLS,DR,WILMINGTON,19808-1674,19808
T M REMODELING INC,T M REMODELING INC,233,3065,,BEYER,BLVD,SAN DIEGO,92154-3499,92154
BLAIR FERGUSON JR ,BLAIR FERGUSON JR,541519,3520,,BENTLEY,DR,SPRING VALLEY,91977-2001,91977
RESTAURANT DEPOT,RESTAURANT DEPOT,42249,7466,,CARROLL,RD,SAN DIEGO,92121-2356,92121
IMPACT SELF-DEFENSE SAN DIEGO,IMPACT SELF-DEFENSE SAN DIEGO LLC,611623,1818,,ROBINSON,AVE,SAN DIEGO,92103-4606,92103
PURE SALON & DAY SPA,CHRISTINE MC CLANAHAN,812115,2685,,POINSETTIA,DR,SAN DIEGO,92106-1121,92106
THOMAS B GORRILL ATTORNEY AT LAW,GORRILL THOMAS B,5411,401,W,A,ST,SAN DIEGO,92101-7937,92101
SAN DIEGO PSYCHOANALYTIC SOCIETY AND INSTITUTE,SAN DIEGO PSYCHOANALYTIC SOCIETY AND INSTI,8134,4455,,MORENA,BLVD,SAN DIEGO,92117-4329,92117
SUPERIOR - AIR INC,SUPERIOR - AIR INC,23511,8860,,KENAMAR,DR,SAN DIEGO,92121-2451,92121
GOLDMAN MAGDALIN & KRIKES LLP,GOLDMAN/MAGDALIN/KRIKES,5411,1961,N,C,ST,OXNARD,93031-4022,93031
RM ENGINEERING CONSULTING,RONIT MUKMERJEE,61142,3282,,VIA ALICANTE,,LA JOLLA,92037-2746,92037
WATER SAFETY SPECIALIST,JAMES LOCKWOOD & KAIMI LOCKWOOD,81219,1844,,DENVER,ST,SAN DIEGO,92110-3536,92110
ALBRITTEN ASSOCIATED ENTERPRISES,ALBRITTEN JESSE L,5412,2681,,MARKET,ST,SAN DIEGO,92102-3011,92102
JULES STEWART GRAPHIC DESIGN,JULIANNE M STEWART,54143,2948,,KALMIA,ST,SAN DIEGO,92104-5415,92104
D A INGRUM MD INC,D A INGRUM MD INC,541615,10755,,SCRIPPS POWAY,PKWY,SAN DIEGO,92131-3924,92131
NOTORIOUSLY GIFTED STUDIO,NOTORIOUSLY GIFTED STUDIO LLC,812111,4456,,VANDEVER,AVE,SAN DIEGO,92120-3325,92120
SEQXCEL INC,SEQXCEL INC,541,6393,,NANCY RIDGE,DR,SAN DIEGO,92121-2235,92121
KENSINGTON YARDZ LLC,KENSINGTON YARDZ LLC,56173,4910,,WESTMINSTER,TER,SAN DIEGO,92116-2317,92116
TISSOTOM,PHUC TU,812112,1923,,MORENA,BLVD,SAN DIEGO,92110-3555,92110
PARTS TECH,GUILLERMO HOMERO MUNOZ ESQUER,453,7310,,POGO,ROW,SAN DIEGO,92154-5517,92154
DMA CONSTRUCTION,MANUEL A DIONISIO,2332,2429,,LAKE FOREST,ST,ESCONDIDO,92026-4062,92026
CC & DJ VENTURES,CC & DJ VENTURES,5239,13548,,BIDWELL,CT,SAN DIEGO,92129-4442,92129
KOEHLER KRAFT COMPANY INC,KOEHLER KRAFT COMPANY INC,4539,2302,,SHELTER ISLAND,DR,SAN DIEGO,92106-3110,92106
HOTZ COSMETICS,CHRISTIAN HERNANDEZ,454,3905,,TEAK,ST,SAN DIEGO,92113-2868,92113
HAROLD WALTER GROENEBOER,HAROLD W GROENEBOER,71151,5472,,GILBERT,DR,SAN DIEGO,92115-3625,92115
EITAN ZUR MARINE,EITAN D ZUR,48721,,,,,SAN DIEGO,92137-1715,92137
BMB GLOBAL LLC,BMB GLOBAL LLC,54161,17125,,RUSSET,ST,SAN DIEGO,92127-2190,92127
BROOK M FOSTER DC,BROOK M FOSTER DC,62131,4380,,FELTON,ST,SAN DIEGO,92104-1421,92104
FLOORING LIQUDATORS INC,FLOORING LIQUDATORS INC,23552,1581,,CUMMINGS ,DR,MODESTO,95358,95358
WEST COAST ORDNANCE WORKS,JOEL MARSHALL STILWAGEN,81299,4319,,TWAIN,AVE,SAN DIEGO,92120-3403,92120
ORANGETHEORY FITNESS  LA JOLLA,AHERN OTF 1 LLC,71394,7734,,GIRARD,AVE,LA JOLLA,92037-4446,92037
U & M CLASSIC PRODUCTS INC,U & M CLASSIC PRODUCTS INC,44612,2623,,HARTFORD,ST,SAN DIEGO,92110-2315,92110
T AND T BEAUTY SALON,LAM PHUNG H,812112,4309,,EUCLID,AVE,SAN DIEGO,92115-4942,92115
CIARA CUSSEAUX IMAGERY,CIARA P CUSSEAUX RHODES,54192,315,,LAUREL,ST,VALLEJO,94591-7313,94591
HOWARD ASSOCIATES INC,HOWARD ASSOCIATES INC,5413,2442,,02ND,AVE,SAN DIEGO,92101-1508,92101
ALAN'S BARBER SHOP,MARIA S UPSON,812114,3018,,IMPERIAL,AVE,SAN DIEGO,92102-4128,92102
SIDECAR VENTURE,WILLIAM E PHILLIPS IV & MICHELLE L PHILLIPS,532111,750,,BEECH,ST,SAN DIEGO,92101-3254,92101
ASPEN RISK MANAGEMENT GROUP ,ASPEN RISK MANAGEMENT GROUP INC,541618,2727,,CAMINO DEL RIO SOUTH,,SAN DIEGO,92108-3709,92108
SAN DIEGO TECH BUILDING SOLUTIONS INC,SAN DIEGO TECH BUILDING SOLUTIONS INC,233,2514,,JAMACHA,RD,EL CAJON,92019-6313,92019
3515 LTD,3515 LTD,541,4895,,SAVANNAH,ST,SAN DIEGO,92110-3824,92110
ADVANCE AMERICA #1000 CASH ADVANCE CENTERS,ADVANCE AMERICA CASH ADVANCE CENTERS OF CA LLC,5419,,,,,SPARTANBURG,29304-3058,29304
JOHNNY FITZMAURICE JR INSURANCE AGENCY INC,JOHNNY FITZMAURICE JR INSURANCE AGENCY INC,52421,12396,,WORLD TRADE,DR,SAN DIEGO,92128-3788,92128
LIGHTNING FAST ELECTRIC INC,LIGHTNING FAST ELECTRIC INC,23531,6161,,EL CAJON,BLVD,SAN DIEGO,92115-3922,92115
DAYLITE WINDOWCLEANING,ERNESTO HUIZARD,56172,416,W,SAN YSIDRO,BLVD,SAN YSIDRO,92173-2443,92173
HERTZ CAR SALES /HERTZ LOCAL EDITION,HERTZ CORPORATION,53211,,,,,MONSEY,10952-8505,10952
APC PHYSICAL THERAPY AND MORE INC,APC PHYSICAL THERAPY AND MORE INC,62419,4579,,MAYAPAN,DR,LA MESA,91941-7145,91941
ROYALTY CARE PLACEMENT,DMITRIY BGATOV,62412,9038,,SUNDANCE,CT,SAN DIEGO,92129-2504,92129
BLACKWATER TATTOO STUDIO,DARREN M KELLERMAN,812196,2045,,N,AVE,NATIONAL CITY,91950-5925,91950
CALIFORNIA BACKFLOW SPECIALISTS,LUCAS HUGGINS,56179,8795,,HILLERY,DR,SAN DIEGO,92126-2860,92126
PHO CALI,PHO CALI LLC,7222,764,,DENNERY ROAD,,SAN DIEGO,92154,92154
CHACHA'S HOUSEKEEPING,ANGELITA MEDINA NAJERA,8129,3575,,BOSTON,AVE,SAN DIEGO,92113-3137,92113
GOTHAM PILATES / 212 PILATES,LAURA ANN SEPULVEDA,8129,7760,,FAY,AVE,LA JOLLA,92037-4322,92037
1430 UNION STREET LLC,1430 UNION STREET LLC,541,575,,ALBION,ST,SAN DIEGO,92106-3209,92106
LOTUS AND LANIER,JONATHAN LANIER,44815,1985,,LIEDER,DR,SAN DIEGO,92154-2934,92154
CHAPLAIN FUND,CLAUDE M STONIER,454,5140,,PARK RIM,DR,SAN DIEGO,92117-1044,92117
CANCUN,ALENA & LUBOMIR PODOLSKY,7222,3225,,SPORTS ARENA,BLVD,SAN DIEGO,92110-4548,92110
UNIVERSAL CONFERENCE MANAGEMENT SYSTEMS & SUPPORT,KAVEH D ARBTAN,54199,14215,,VIA MICHELANGELO,,SAN DIEGO,92129-4200,92129
GHOSTINMOTORZ,DAVID A GUSTAVE,8111,5451,,ROSWELL,ST,SAN DIEGO,92114-1727,92114
MILES YARD AND GARDEN LLC,MILES YARD AND GARDEN LLC,56173,4733,,MUIR,AVE,SAN DIEGO,92107-2217,92107
LIVING ROOM CAFE OF LA JOLLA,SAN DIEGO LIVING ROOM INC,722211,1010,,PROSPECT,ST,LA JOLLA,92037-4109,92037
THOMAS ENTERPRISES,THOMAS KEITH A,45439,8648,,VALENCIA,ST,SPRING VALLEY,91977-2543,91977
FAMILY SUPPORT CENTER OF SAN DIEGO,IRWIN ROSENFARB,62133,10455,,POMERADO,RD,SAN DIEGO,92131-1717,92131
ELITE CONSULTATIONS INC,ELITE CONSULTATIONS INC,541615,1507,,ELMWOOD,CT,CHULA VISTA,91915-2163,91915
T-MOBILE FINANCIAL LLC,T-MOBILE FINANCIAL LLC,42169,12920,SE,38TH,ST,BELLEVUE,98006-1350,98006
FRED LOYA INSURANCE AGENCY INC,FRED LOYA INSURANCE AGENCY INC,52421,2850,,NATIONAL,AVE,SAN DIEGO,92113-2439,92113
CHRISTOPHER NAU,NAU CHRISTOPHER,2353,8368,,VIA SONOMA,,LA JOLLA,92037-2832,92037
MEAGAN BARNABA,MEAGAN BARNABA,81299,1425,,GARNET,AVE,SAN DIEGO,92109-3015,92109
GENOVA BIOPHARMACEUTICALS INC,GENOVA BIOPHARMACEUTICALS INC,54171,5850,,OBERLIN,DR,SAN DIEGO,92121-4711,92121
BALBOA NEPHROLOGY MEDICAL GROUP INC,BALBOA NEPHROLOGY MEDICAL GROUP INC,62111,4060,,04TH,AVE,SAN DIEGO,92103-2120,92103
TRACES OF DESIGN,TRACI A WOODEN,454,6161,,EL CAJON,BLVD,SAN DIEGO,92115-3922,92115
APHRODITE'S CLOSET,PAMELA A MCPHEE & ROCKNE N PARKER,4481,3739,,06TH,AVE,SAN DIEGO,92103-4389,92103
SIBYL DESIGNS,SIBYL & AL RUBOTTOM,54143,5352,,VIA CARANCHO,,SAN DIEGO,92111-4521,92111
KIM DELA CRUZ,KIM DELA CRUZ,62139,11344,,IRONWOOD,RD,SAN DIEGO,92131-1917,92131
YENOR & ASSOCIATES,ROBERT W YENOR CPA APC,541211,3914,,MURPHY CANYON,RD,SAN DIEGO,92123-4491,92123
SUGAR BEAR ENTERPRISES,JOANN E STABILE,72232,485,,ELM,AVE,CHULA VISTA,91910-4809,91910
BRENDA GRIJALVA DC,BRENDA GRIJALVA DC,62131,8950,,VILLA LA JOLLA,DR,LA JOLLA,92037-1721,92037
ABINAV CHANDRA,ABINAV CHANDRA,532,,,,,SAN DIEGO,92169-0508,92169
ACE PARKING MANAGEMENT INC #109,ACE PARKING MANAGEMENT INC,81293,1200,,PROSPECT,ST,LA JOLLA,92037-3608,92037
THE CORNER WASH,LAUNDRY MAN INC,81231,,,,,SAN DIEGO,92176-6434,92176
SAN DIEGO SEXUAL MEDICINE APC,SAN DIEGO SEXUAL MEDICINE APC,62111,5555,,RESERVOIR,DR,SAN DIEGO,92120-5194,92120
GEORGE R JOHNSTON ,GEORGE R JOHNSTON ,541,6888,,GOLFCREST,DR,SAN DIEGO,92119-2402,92119
AQUA CLEAN EXPRESS CAR WASH,AQUA EXPRESS INC,811192,6675,,EL CAJON,BLVD,SAN DIEGO,92115-2802,92115
MARIA C BAUTISTA MD,MARIA C BAUTISTA MD INC,6211,11878,,AVENUE OF INDUSTRY,,SAN DIEGO,92128-3423,92128
JANET RODRIGUEZ MFT,JANET R RODRIGUEZ,62419,9820,,WILLOW CREEK,RD,SAN DIEGO,92131-1116,92131
THINGS WORTH WRAPPING,GINA D MANZELLA,454,2172,,FINCH,LN,SAN DIEGO,92123-3711,92123
GREEN AND FRESH CONSULTANTS,GREEN AND FRESH CONSULTANTS,45439,3960,W,POINT LOMA,AVE,SAN DIEGO,92106,92106
PLUMBING & AIR STAR HEATING,HIRE PRO MAN INC,811,1817,,MORENA,BLVD,SAN DIEGO,92110-3651,92110
THAI LAO MARKET AND LAUNDRY,JARUCHA R SUTTER,4451,4704,,MARKET,ST,SAN DIEGO,92102-4716,92102
TROCHE REAL ESTATE SERVICE,TROCHE REAL ESTATE SALES AND INVESTMENT,541,1010,,PEARL,ST,LA JOLLA,92037-5164,92037
THE ELECTRIC CO,CRS GROUP INC,23531,3136,,KURTZ,ST,SAN DIEGO,92110-4425,92110
SAN YSIDRO HEALTH MOUNTAIN HEALTH FAMILY MEDICINE,CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC,81356,1388,,BUCKMAN SPRINGS,RD,CAMPO,91906-2028,91906
TRACY'S NAIL,TRACY G NGUYEN,8121,4484,,52ND,ST,SAN DIEGO,92115-4713,92115
APPLIANCE SCIENCE,TODD MICHAEL JOHNSON,81149,1643,,HORNBLEND,ST,SAN DIEGO,92109-4432,92109
MADE LUMBER SUPPLY,BRIAN J GRASELA,42131,5334,,BANKS,ST,SAN DIEGO,92110-4008,92110
RUTH WISE,RUTH I WISE,812115,4288,,CASS,ST,SAN DIEGO,92109-4006,92109
MORTGAGEWRITE INC,MORTGAGEWRITE INC,52231,2292,,FARADAY,AVE,CARLSBAD,92008-7238,92008
CU REVEST LLC,CU REVEST LLC,5239,404,,CAMINO DEL RIO SOUTH,,SAN DIEGO,92108-3588,92108
BUF TECHNOLOGY,BREDON BRUCE/TRACEY,54161,12335,,WORLD TRADE,DR,SAN DIEGO,92128,92128
SENIOR VILLAGE SAKURA,SAN DIEGO HANA HOMES INC,81351,2815,,04TH,AVE,SAN DIEGO,92103-6207,92103
PARK BLVD LIQUOR & DELI,ALVIN HABIB & HEATHER HABIB,44512,4504,,PARK,BLVD,SAN DIEGO,92116-2643,92116
L J AUTO,BEN KANDI,44112,4455,,FEDERAL,BLVD,SAN DIEGO,92102-2538,92102
HEATHER C STEINMAN,HEATHER C STEINMAN,71151,475,,MELBOURNE GLEN,,ESCONDIDO,92026-8564,92026
RICK WALTMAN LAW APC,RICK WALTMAN LAW APC,54111,501,W,BROADWAY,,SAN DIEGO,92101-3546,92101
JILL HAILSTONES PRECHEUR,JILL HAILSTONES PRECHEUR,53111,2816,,DALE,ST,SAN DIEGO,92104-4926,92104
ART WORLDS UNITED,SPENCER WILLIS,45392,4851,,GARDENA,AVE,SAN DIEGO,92110-1332,92110
HEIKESPA,HEIKE S RENTEL,812198,6828,,ELAINE,WAY,SAN DIEGO,92120-3933,92120
RED O LA JOLLA LLC,RED O LA JOLLA LLC,72211,13,,CORPORATE PLAZA,DR,NEWPORT BEACH,92660-7919,92660
MARC SHULAR A PROFESSIONAL CORPORATION,MARC SHULAR A PROFESSIONAL CORPORATION,54111,14282,,DANIELSON,ST,POWAY,92064-8819,92064
EK HEALTH SERVICES INC,EK HEALTH SERVICES INC,81299,992,S,DE ANZA,BLVD,SAN JOSE,95129-2777,95129
THE COTTAGE,COTTAGE LA JOLLA LLC,7221,7702,,FAY,AVE,LA JOLLA,92037-4309,92037
DURAN FREIGHT CORPORATION,DURAN FREIGHT CORPORATION,48423,7295,,SIEMPRE VIVA,RD,SAN DIEGO,92154-7412,92154
SALON ON 30TH,ECLATANT LLC,812112,2225,,30TH,ST,SAN DIEGO,92104-5472,92104
SALON ON 30TH,GHOST ALLIANCE INC,812112,3866,,MURRAY HILL,RD,LA MESA,91941-7622,91941
MARANATHA BOOKSTORE,MARANATHA CHAPEL INC,8135,10752,,COASTWOOD,RD,SAN DIEGO,92127-2400,92127
MARANATHA CAB,FRANCISCO J BARRAZA,48531,173,W,SEAWARD,AVE,SAN YSIDRO,92173-2547,92173
MARANATHA TOWING & TRANSPORTATION,MARANATHA TOWING & TRANSPORTATION,4853,15870,,CAMINO SAN BERNARDO,,SAN DIEGO,92127-2371,92127
