BorrowerName,BorrowerAddress,BorrowerCity,BorrowerZip,FranchiseName,NAICSCode,BorrowerZip_6dig,Race,Ethnicity
"NEUBLOC, LLC",10803 THORNMINT RD,SAN DIEGO,92127,,541519.0,92127,Unanswered,Unknown/NotStated
SUSHI OTA INC.,4529 Mission Bay Dr,SAN DIEGO,92109,,722511.0,92109,Unanswered,Unknown/NotStated
PARTNERSHIPS WITH INDUSTRY,7540 Metropolitan Dr Ste 105,San Diego,92108-4416,,561311.0,92108,Unanswered,Unknown/NotStated
GALLO BROS BUSINESS LLC,1845 India St,San Diego,92101-2519,,722511.0,92101,Unanswered,Unknown/NotStated
VOTEC CORPORATION,10920 VIA FRONTERA STE 110,SAN DIEGO,92127-1730,,541511.0,92127,Unanswered,Unknown/NotStated
ACEA THERAPEUTICS INC,4224 Campus Point Ct Ste 210,San Diego,92121,,541711.0,92121,Unanswered,Unknown/NotStated
SOUTHWEST ANTENNAS,10939 TECHNOLOGY PL,SAN DIEGO,92127-1811,,423690.0,92127,Unanswered,Unknown/NotStated
ASI SERVICES INC,2212 Verus St,SAN DIEGO,92154,,336611.0,92154,Unanswered,Unknown/NotStated
"JB PACIFIC, INC",11633 Sorrento Valley Rd Ste 103,San Diego,92121-1039,,236220.0,92121,Unanswered,Unknown/NotStated
MFI MEDICAL EQUIPMENT INC.,"10695 Treena Street, Suite 105",San Diego,92131,,453998.0,92131,Unanswered,Unknown/NotStated
"ROSNER, BARRY &AMP; BABBITT, LLP","10085 Carroll Canyon Road, Suite 100",San Diego,92131,,,92131,Unanswered,Unknown/NotStated
COMMERCIAL BUILDERS INC,9550 Waples St Ste 105,San Diego,92121-2984,,236220.0,92121,Unanswered,Unknown/NotStated
"SLEEP DATA HOLDINGS, LLC",5471 KEARNY VILLA RD Suite 202,SAN DIEGO,92123-1105,,621610.0,92123,White,Not Hispanic or Latino
PIZZA NOVA - HARBOR DRIVE INC,5050 N Harbor Dr,San Diego,92106-2386,,722511.0,92106,Unanswered,Unknown/NotStated
SWVP DEL MAR HOTEL LLC,12770 El Camino Real STE 200,SAN DIEGO,92130-2007,,721110.0,92130,Unanswered,Unknown/NotStated
"NORTHERN FREIGHT EXPRESS, INC",3525 Del Mar Heights Rd #286,San Diego,92130,,238220.0,92130,Unanswered,Not Hispanic or Latino
RANBAR PLUMBING CONTRACTORS INC.,8514 Commerce Ave # B,San Diego,92121-2611,,238220.0,92121,American Indian or Alaska Native,Hispanic or Latino
MYBIOSOURCE INC,PO Box 153308,SAN DIEGO,92195,,454110.0,92195,Unanswered,Unknown/NotStated
PASTOR OF SAINT MARY MAGDALENE CATHOLIC PARISH,1945 Illion St,San Diego,92110-1316,,813110.0,92110,Unanswered,Unknown/NotStated
"VITACUP, INC.","10620 Treena Street, Suite 100",San Diego,92131-1140,,311920.0,92131,Unanswered,Unknown/NotStated
"MURFEY COMPANY, INC.",2050 HANCOCK ST,SAN DIEGO,92110-2009,,236116.0,92110,Unanswered,Unknown/NotStated
CIRE INVESTMENT SERVICES INC.,530 B St,San Diego,92101-4407,,531120.0,92101,White,Not Hispanic or Latino
SAN DIEGO REGIONAL CHAMBER OF COMMERCE,402 W Broadway Ste 1000,San Diego,92101-3585,,813910.0,92101,Unanswered,Unknown/NotStated
"HOME ENERGY SYSTEMS INC,",5980 FAIRMOUNT AVE Suite 105,SAN DIEGO,92120-4002,,238990.0,92120,Unanswered,Unknown/NotStated
"WORKSHOPS FOR WARRIORS, INC.",2970 Main Street,San Diego,92113-3730,,332710.0,92113,Unanswered,Unknown/NotStated
LATITUDE PHARMACEUTICALS INC.,9675 BUSINESSPARK AVE,SAN DIEGO,92131,,325412.0,92131,Unanswered,Unknown/NotStated
"ALLELBIOTECHNOLOGY AND PHARMACEUTICALS, INC.",6404 NANCY RIDGE DRIVE,SAN DIEGO,92121,,541711.0,92121,Unanswered,Unknown/NotStated
BERTRAND MUSIC ENTERPRISES INC,9906 Carmel Mountain Rd,San Diego,92129-2814,,451140.0,92129,Unanswered,Not Hispanic or Latino
"BALD EAGLE SECURITY SERVICES, INC",3626 Main St,SAN DIEGO,92113,,561612.0,92113,Unanswered,Unknown/NotStated
ROSEMONT MEDIA LLC,1010 TURQUOISE ST STE 301,SAN DIEGO,92109,,541810.0,92109,White,Not Hispanic or Latino
CREEL INDUSTRIES DBA SAN DIEGO MOBILITY,4715 30TH ST STE 6,SAN DIEGO,92116,,,92116,Unanswered,Unknown/NotStated
OLD TOWN TEQUILA FACTORY INC,4041 Harney St Ste 100,San Diego,92110-2866,,722511.0,92110,Unanswered,Unknown/NotStated
INVESTMENT PLACEMENT GROUP,350 10th Ave Ste 1150,San Diego,92101-7433,,523120.0,92101,Unanswered,Unknown/NotStated
INVESTMENT PLACEMENT GROUP,350 10th Avenue Suite 1150,SAN DIEGO,92101-7433,,523120.0,92101,Unanswered,Unknown/NotStated
"PACIFIC SHELLFISH, INC.",5040 CASS ST,SAN DIEGO,92109-1801,,722511.0,92109,Unanswered,Unknown/NotStated
"STEREN ELECTRONICS INTERNATIONAL, LLC","6910 Carroll Road, Ste 200",San Diego,92121,,423690.0,92121,Unanswered,Unknown/NotStated
STEREN ELECTRONICS INTERNATIONAL LLC,6910 Carroll Rd Ste 200,San Diego,92121-2211,,423690.0,92121,Unanswered,Unknown/NotStated
ESSEL MANAGER INC,619 Kettner Blvd Ste A,San Diego,92101-7079,,531110.0,92101,Unanswered,Unknown/NotStated
"HYPERIKON, INC.","707 Broadway, st 800",SAN DIEGO,92101-5386,,334419.0,92101,Unanswered,Unknown/NotStated
STAR MANU,4075 Ruffin Rd,San Diego,92123-1817,,424210.0,92123,White,Not Hispanic or Latino
LATITUDE PHARMACEUTICALS INC.,9675 Businesspark Ave,San Diego,92131-1644,,541714.0,92131,Unanswered,Unknown/NotStated
"SEAMGEN, LLC",185 W F ST STE 700,SAN DIEGO,92101,,541511.0,92101,Unanswered,Unknown/NotStated
LARSCOR REMODELING & DESIGN,5925 KEARNY VILLA RD,SAN DIEGO,92123-1000,,236118.0,92123,Unanswered,Not Hispanic or Latino
"DAVIS TRUCKING, LLC","7345 MISSION GORGE RD, SUITE H, SAN DIEGO, CA  92120",SAN DIEGO,92120,,484122.0,92120,Unanswered,Unknown/NotStated
ALTA ROOFING &AMP; WATERPROOFING INC,5665 KEARNY VILLA RD,SAN DIEGO,92123,,238990.0,92123,Unanswered,Unknown/NotStated
FUMARI INC.,675 Gateway Center Dr Ste A,San Diego,92102-4531,,312230.0,92102,Unanswered,Unknown/NotStated
FUMARI INC,675 GATEWAY CENTER DR,SAN DIEGO,92102-4531,,523999.0,92102,Unanswered,Unknown/NotStated
NATIONAL SECURITY WORKS INCORPORATED,4440 Rainier Avenue Suite 101,SAN DIEGO,92120-3306,,238210.0,92120,Unanswered,Unknown/NotStated
HECHT SOLBERG ROBINSON GOLDBERG &AMP; BAGLEY LLP,"600 W. Broadway, Suite 800",San Diego,92101,,541110.0,92101,Unanswered,Unknown/NotStated
BEEONTIME LOGISTICS LLC,13510 Sabre Springs Parkway Unit 101,San Diego,92128-4686,,485999.0,92128,Unanswered,Unknown/NotStated
"CHRISTY WHITE, INC.",348 Olive St.,San Diego,92103-6216,,541211.0,92103,Unanswered,Unknown/NotStated
MCKOWSKIS MAINTENANCE SYSTEMS INC,10979 San Diego Mission Road,San Diego,92108,,561720.0,92108,Unanswered,Unknown/NotStated
"R.A.C. BRESSI, LP",9619 CHESAPEAKE DR #103,SAN DIEGO,92123-1325,,623312.0,92123,Unanswered,Unknown/NotStated
"BUSINESSOL.COM, INC.",600 B ST,SAN DIEGO,92101-4500,,541613.0,92101,Unanswered,Unknown/NotStated
JK ENTERTAINMENT LLC,12707 High Bluff Dr Ste 100,San Diego,92130-2036,,541840.0,92130,White,Not Hispanic or Latino
ACE COOLERS INC,7852 RAYTHEON RD,SAN DIEGO,92111-1605,,423740.0,92111,Unanswered,Unknown/NotStated
KIERAN LABEL CORPORATION,2321 Siempre Viva Ct,San Diego,92154-6230,,561910.0,92154,Unanswered,Unknown/NotStated
"B-PER ELECTRONIC, INC.","5252 Balboa Ave, Suite 101 A",SAN DIEGO,92117-6900,,517312.0,92117,Unanswered,Not Hispanic or Latino
BIOSERV CORPORATION,4955 Directors Place,SAN DIEGO,92121,,541714.0,92121,Unanswered,Unknown/NotStated
MI CASA SOFTWARE LLC,10949 TECHNOLOGY PLACE SUITE B,SAN DIEGO,92127,,541512.0,92127,Unanswered,Unknown/NotStated
"CHICANO FEDERATION OF SAN DIEGO COUNTY, INC.",3180 UNIVERSITY AVE Suite 400,SAN DIEGO,92104-2074,,813319.0,92104,Unanswered,Unknown/NotStated
"THX TRANSPORT, LLC",468-B ALTA RD,SAN DIEGO,92154,,484121.0,92154,White,Not Hispanic or Latino
INSITUTE DE L'UNION-CHRETIENNE DE ST. CHAUMOND,4345 DEL MAR TRAILS RD,SAN DIEGO,92130-2296,,611310.0,92130,White,Not Hispanic or Latino
MED DATA QUEST INC.,10590 W OCEAN AIR DR STE 220,SAN DIEGO,92130,,999990.0,92130,Unanswered,Unknown/NotStated
"STADIUM VENTURES &AMP; CONCEPTS, LLC","715 J Street, Suite 206",San Diego,92101-7136,,711310.0,92101,Unanswered,Not Hispanic or Latino
PURCELL INTERNATIONAL GROUP,9635 GRANITE RIDGE DRIVE SUITE 120,SAN DIEGO,92123,,561312.0,92123,Unanswered,Unknown/NotStated
ALL-AMERICAN PAINT & BODY INC.,8315 Buckhorn St,San Diego,92111-2403,,811121.0,92111,Unanswered,Unknown/NotStated
SAN DIEGO EYE BANK,3870 Murphy Canyon Road Suite 250,SAN DIEGO,92123,,621991.0,92123,Unanswered,Unknown/NotStated
S&B GROCERY INC,6386 DEL CERRO BLVD,SAN DIEGO,92120,,445110.0,92120,Unanswered,Unknown/NotStated
VIRGINIA,9591 Waples St,San Diego,92121-2953,,813990.0,92121,Unanswered,Unknown/NotStated
"CHALLENGED ATHLETES, INC.",9591 Waples St,San Diego,92121,,813990.0,92121,Unanswered,Unknown/NotStated
JOSEPH WONG AIA DESIGN ASSOCIATES,2359 4TH AVE,SAN DIEGO,92101,,541310.0,92101,Unanswered,Unknown/NotStated
CIRCA INTERACTIVE,"4993 Niagara Avenue, Suite 200",San Diego,92107-3185,,541613.0,92107,Unanswered,Unknown/NotStated
NIELSEN BEAUMONT MARINE INC.,2420 SHELTER ISLAND DR,SAN DIEGO,92106-3112,,811310.0,92106,Unanswered,Unknown/NotStated
"PROTEL COMMUNINCATIONS, INC",4686 Mission Gorge,San Diego,92120,,443142.0,92120,White,Not Hispanic or Latino
PIPE TRADES,6160 Fairmount Ave Ste I,San Diego,92120-3427,,238220.0,92120,Unanswered,Unknown/NotStated
PASTOR OF GOOD SHEPERD CATHOLIC PARISH SAN DIEGO CALIFORNIA,8200 Gold Coast Dr,San Diego,92126-3669,,813211.0,92126,Unanswered,Unknown/NotStated
DAV ENERGY SOLUTIONS INC,1804 Garnet Ave PMB 279,San Diego,92109-3352,,541690.0,92109,Unanswered,Unknown/NotStated
TGD INC,1955 MORENA BLVD,SAN DIEGO,92110,,722511.0,92110,Unanswered,Unknown/NotStated
"MOOSE-GTD, LLC","715 J Street, Suite 206",San Diego,92101-7136,,722410.0,92101,White,Not Hispanic or Latino
"CARLETON MANAGEMENT, INC.",11440 W BERNARDO CT STE 390,SAN DIEGO,92127-1640,,531311.0,92127,Unanswered,Unknown/NotStated
PINT INC.,2105 Garnet Ave,San Diego,92109-3670,,541511.0,92109,Unanswered,Unknown/NotStated
SIN NOMBRE INCORPORATED,"4696 Ruffner Street, Suite A",SAN DIEGO,92111-2220,,722320.0,92111,Asian,Hispanic or Latino
EQUITY MANAGEMENT INC.,4365 EXECUTIVE DR Suite 1000,SAN DIEGO,92121-2123,,541613.0,92121,Unanswered,Unknown/NotStated
DIVING UNLIMITED INT'L INC,1148 DELEVA DR,SAN DIEGO,92102,,451110.0,92102,Unanswered,Unknown/NotStated
TRANSITION STAFFING GROUP INC.,10509 Vista Sorrento Pkwy Ste 300,San Diego,92121-2743,,561320.0,92121,Unanswered,Unknown/NotStated
SAN DIEGO FUNDING,2468 Historic Decatur Road #160,SAN DIEGO,92106-6148,,522292.0,92106,Unanswered,Unknown/NotStated
"J. B. SYSTEMS, INC.",10803 THORNMINT RD,SAN DIEGO,92127,,541519.0,92127,Unanswered,Unknown/NotStated
J.B. SYSTEMS INC.,10803 Thornmint Rd Ste 200,San Diego,92127-2406,,541511.0,92127,Unanswered,Unknown/NotStated
FLEXIBLE ASSEMBLY SYSTEMS INC,8220 ARJONS DR,SAN DIEGO,92126-4334,,541420.0,92126,White,Not Hispanic or Latino
MRS. KELLY'S INC.,2805 Emerson St.,San Diego,92106,,445220.0,92106,Unanswered,Unknown/NotStated
"SHIPWARE, LLC",10815 RANCHO BERNARDO RD,SAN DIEGO,92127-2125,,541614.0,92127,Black or African American,Hispanic or Latino
"PMB PAYROLL, INC.",2294 CARMEL MOUNTAIN RD #200,SAN DIEGO,92121-1073,,531120.0,92121,Unanswered,Unknown/NotStated
RICHARD BRADY AND ASSOCIATES,2655 CAMINO DEL RIO,SAN DIEGO,92108-1633,,541330.0,92108,Unanswered,Unknown/NotStated
ANCORA SOFTWARE INC.,402 W Broadway Ste 400,San Diego,92101-3554,,511210.0,92101,Unanswered,Unknown/NotStated
SENTRE INC.,225 Broadway Ste 2075,San Diego,92101-5030,,531110.0,92101,Unanswered,Unknown/NotStated
SAINT GREGORY THE GREAT CATHOLIC PARISH IN SAN DIEGO CALIFOR,11451 Blue Cypress Dr,San Diego,92131-3772,,813211.0,92131,Unanswered,Unknown/NotStated
AWBREY COOK & MCGILL INC.,1045 14th St Ste 100,San Diego,92101-5752,,541310.0,92101,White,Not Hispanic or Latino
COMMUNICATION WIRING SPECIALISTS,8909 COMPLEX DR STE F,SAN DIEGO,92123,,238210.0,92123,Unanswered,Unknown/NotStated
TELESIS SURVEYING AND CIVIL ENGINEERING CORPORATION,"16885 Via Del Campo Court, California,Suite 304",San Diego,92127,,541330.0,92127,Unanswered,Unknown/NotStated
IRVINE ENTERPRISES LLC,13258 Bavarian Drive,San Diego,92129-2372,,541611.0,92129,Unanswered,Unknown/NotStated
NANOCOMPOSIX,4878 Ronson CT STE J,San Diego,92111,,325414.0,92111,Unanswered,Unknown/NotStated
"HARNEY HOSPITALITY, LP","11250 El Camino Real, Suite 100",SAN DIEGO,92130-2647,,721110.0,92130,Unanswered,Unknown/NotStated
CHILDREN'S LEGAL SERVICES OF SAN DIEGO,4801 Viewridge Avenue,SAN DIEGO,92123,,541110.0,92123,Unanswered,Unknown/NotStated
ARCTRADE INC.,12707,SAN DIEGO,92130,,541511.0,92130,Asian,Not Hispanic or Latino
HARBOR FOODS #2 INC.,3111 Camino del Rio N,San Diego,92108-5720,Oggi's,722511.0,92108,Unanswered,Unknown/NotStated
CHARTER INDUSTRIAL SUPPLY,7832 OSTROW ST,SAN DIEGO,92111,,423840.0,92111,White,Unknown/NotStated
"AGENT ELITE, INC.",7220 Trade St Suite 105,San Diego,92121,,541613.0,92121,Unanswered,Unknown/NotStated
"CALIFORNIA PRECISION PRODUCTS, INC.",6790 Flanders Drive,San Diego,92121,,332322.0,92121,White,Unknown/NotStated
LIGHTHOUSE STRATEGIES LLC.,10170 Sorrento Valley Rd,San Diego,92121,,561110.0,92121,Unanswered,Unknown/NotStated
THE BOILING CRAB SAN DIEGO LLC,9015 Mira Mesa Blvd,San Diego,92126-2785,The Boiling Crab,722511.0,92126,Asian,Not Hispanic or Latino
THE FIRST UNITED METHODIST CHURCH OF SAN DIEGO,2111 Camino del Rio S,San Diego,92108-3604,,813110.0,92108,Unanswered,Unknown/NotStated
SWVP CHARLOTTE LLC,12770 El Camino Real Ste 200,San Diego,92130-2247,DoubleTree by Hilton,721110.0,92130,Unanswered,Unknown/NotStated
CROWN POINT SYSTEMS INC.,2488 Historic Decatur Rd Ste 150,San Diego,92106-6181,,541519.0,92106,Unanswered,Unknown/NotStated
HOLONIS INC.,225 Broadway Fl 7,San Diego,92101-5034,,541330.0,92101,Unanswered,Unknown/NotStated
PROFESSIONAL SEARCH GROUP LLC,750 B ST 3300,SAN DIEGO,92101-8188,,999990.0,92101,Unanswered,Unknown/NotStated
PROFESSIONAL SEARCH GROUP LLC,4445 Eastgate Mall Ste 405,San Diego,92121-1979,,561320.0,92121,Unanswered,Unknown/NotStated
SWIFT TRADESMAN LLC,7670 Clairemont Mesa Blvd.,San Diego,92111,,561320.0,92111,White,Hispanic or Latino
"ANDREW LAUREN GRANITE, LLC",8909 KENAMAR DRIVE #101,SAN DIEGO,92121,,236115.0,92121,Unanswered,Hispanic or Latino
MED DATA QUEST INC.,10590 W Ocean Air Dr Ste 220,San Diego,92130-4682,,541519.0,92130,Unanswered,Unknown/NotStated
"CUTTING EDGE DRYWALL, INC.",7046 CONVOY CT,SAN DIEGO,92111,,238310.0,92111,Unanswered,Unknown/NotStated
"SKYSAFE, INC.",3436 Ray St,San Diego,92104,,541511.0,92104,Unanswered,Unknown/NotStated
"WORKRIGHT PROPERTY SERVICES, INC",7837 Convoy Ct Ste 200,San Diego,92111-1209,,531210.0,92111,Unanswered,Unknown/NotStated
SWIFT TRADESMAN LLC,7670 Clairemont Mesa Blvd,San Diego,92111-1535,,561320.0,92111,White,Hispanic or Latino
LOVE AND PRIDE ENTERPRISES INC,11375 El Camino Real Ste 120,San Diego,92130-2237,,722511.0,92130,Unanswered,Unknown/NotStated
TORREY PINES LANDSCAPE CO INC,5560 EASTGATE MALL,SAN DIEGO,92121-2806,,541320.0,92121,White,Unknown/NotStated
SAN DIEGO - IMPERIAL COUNCIL BOY SCOUTS OF AMERICA,1207 Upas St,San Diego,92103-5127,,813410.0,92103,Unanswered,Unknown/NotStated
THE CARLSON COMPANY,9292 Activity Rd,San Diego,92126,,423850.0,92126,Unanswered,Unknown/NotStated
"ANDREWS BROTHERS ELECTRIC, INC.",7766 ARJONS DR,SAN DIEGO,92126-4391,,238210.0,92126,White,Not Hispanic or Latino
TITAN GROWTH,10907 TECHNOLOGY PL,SAN DIEGO,92127-1811,,541613.0,92127,Unanswered,Unknown/NotStated
MDP CATERING AND EVENTS INC,1895 Camino del Rio S,San Diego,92108-3601,,722320.0,92108,White,Not Hispanic or Latino
MARANATHA CHAPEL INC.,10752 Coastwood Rd,San Diego,92127-2400,,813110.0,92127,Unanswered,Unknown/NotStated
DCSS II INC,1421 University Ave,San Diego,92103-3404,,722410.0,92103,Unanswered,Hispanic or Latino
"VANTAGE POINT ADVISORS, INC.",11455 EL CAMINO REAL SUITE 450,SAN DIEGO,92130-2045,,541990.0,92130,White,Not Hispanic or Latino
THE WINERY - LA JOLLA LP,4301 La Jolla Village Dr Ste 2040,San Diego,92122-1201,,722511.0,92122,Unanswered,Not Hispanic or Latino
JGD & ASSOCIATES LLP,"9191 Towne Centre Drive, Suite 340",San Diego,92122,,541219.0,92122,Unanswered,Unknown/NotStated
OCEAN AERO INC.,10350 Sorrento Valley Rd,San Diego,92121-1642,,541715.0,92121,Unanswered,Unknown/NotStated
THE FIRST UNITED METHODIST CHURCH OF SAN DIEGO,2111 CAMINO DEL RIO,SAN DIEGO,92108-3604,,813110.0,92108,Unanswered,Unknown/NotStated
"NEW LEAF BIOFUEL, LLC",2285 Newton Ave,SAN DIEGO,92113-3619,,325199.0,92113,Unanswered,Unknown/NotStated
"OCOTILLO HOLDINGS, LLC",10119 CARROLL CANYON RD,SAN DIEGO,92131-1109,,424820.0,92131,Unanswered,Unknown/NotStated
MOODYS LUNCH SERVICE,4637 Market St,San Diego,92102-4709,,722330.0,92102,Unanswered,Unknown/NotStated
"SYSTRAN SOFTWARE, INC.",4445 EASTGATE MALL,SAN DIEGO,92121-1979,,511210.0,92121,Unanswered,Unknown/NotStated
CEATUS MEDIA GROUP LLC,4141 JUTLAND DR Ste 215,SAN DIEGO,92117-3649,,541890.0,92117,Unanswered,Unknown/NotStated
JUNIPER HOUSE LLC,2305 India St,San Diego,92101-1209,,722511.0,92101,Unanswered,Unknown/NotStated
FRANKLIN WIRELESS CORP,9707 WAPLES ST 150,SAN DIEGO,92121-2954,,334220.0,92121,Asian,Not Hispanic or Latino
ELITE ESCROW SERVICES OF SAN DIEGO,4725 Mercury Streey #100,SAN DIEGO,92111-2131,,531390.0,92111,Unanswered,Unknown/NotStated
CENTER FOR ORAL &AMP; FACIAL SURGERY,"306 Walnut Ave, Suite 26",San Diego,92103,,621210.0,92103,Unanswered,Unknown/NotStated
640 TENTH LP,640 10th Avenue,SAN DIEGO,92101-7218,,722511.0,92101,Unanswered,Unknown/NotStated
APPLESEED SAN DIEGO,2640 SODERBLOM AVE,SAN DIEGO,92122,,624410.0,92122,Unanswered,Unknown/NotStated
TRAINA DESIGN INC,10680 Treena St Ste 520,San Diego,92131-2447,,541430.0,92131,Unanswered,Unknown/NotStated
"EKIM BUILDERS, INC.",2249 Ulric St,SAN DIEGO,92111-6448,,236115.0,92111,Unanswered,Unknown/NotStated
SUITES LP,11025 Vista Sorrento Pkwy,San Diego,92130-8202,Homewood Suites by Hilton,721110.0,92130,Unanswered,Not Hispanic or Latino
AEH COMPANY INC.,4350 Executive Dr Ste 310,San Diego,92121-2118,,541611.0,92121,Unanswered,Unknown/NotStated
AEH COMPANY,4350 Executive Dr,San Diego,92121-2118,,541611.0,92121,Unanswered,Unknown/NotStated
BEE INTERNATIONAL INC,"2020 PIPER RANCH ROAD, SUITE 120",SAN DIEGO,92154-6247,,424450.0,92154,Unanswered,Unknown/NotStated
MOBILITY SOLUTIONS INC.,7895 Convoy Ct Ste 11,San Diego,92111-1215,,423450.0,92111,Unanswered,Not Hispanic or Latino
3 BLIND MICE WINDOW COVERINGS INC,7960 Silverton Ave Ste 127,San Diego,92126-6397,,442291.0,92126,Unanswered,Not Hispanic or Latino
ACE COOLERS INC,7852 Raytheon Rd,San Diego,92111-1605,,238220.0,92111,Unanswered,Unknown/NotStated
MISSION BAY MOTORS INC,2205 Morena Blvd,SAN DIEGO,92110-4134,Volkswagen Dealer Agreement,441110.0,92110,Unanswered,Hispanic or Latino
CFI-CAPITAL GROWTH INC,10951 SORRENTO VALLEY RD,SAN DIEGO,92121-1603,,531311.0,92121,Unanswered,Unknown/NotStated
"HILLCREST PHARMACY, INC.",120 UNIVERSITY AVE,SAN DIEGO,92103,,446110.0,92103,White,Hispanic or Latino
PKF LLP,2020 camino del rio n #500,SAN DIEGO,92108,,541211.0,92108,Unanswered,Unknown/NotStated
"COMMERCIAL FINACE & LEASING BANK OF CARDIFF,INC",12626 HIGH BLUFF DRIVE STE 370,SAN DIEGO,92130,,532420.0,92130,Unanswered,Unknown/NotStated
"ZUCCHERO RESTAURANTS, INC.",4420 HOTEL CIRCLE CT STE 155,SAN DIEGO,92108,,722511.0,92108,Unanswered,Unknown/NotStated
NUVVE CORP,2468 Historic Decatur Rd Suite 200,San Diego,92106,,541990.0,92106,Unanswered,Unknown/NotStated
"ONPOINT HEALTHCARE SOLUTIONS, INC",1983 MENDOCINO BLVD,SAN DIEGO,92107,,621991.0,92107,Unanswered,Unknown/NotStated
SAN DIEGO MAGAZINE LLC,707 Broadway Ste 1100,San Diego,92101-5300,,511120.0,92101,Unanswered,Unknown/NotStated
CY GASLAMP LLC,453  6TH AVE,SAN DIEGO,92101-7007,,721110.0,92101,Unanswered,Unknown/NotStated
THE CHURCH AT CARMEL MOUNTAIN,11740 BERNARDO PLAZA CT,SAN DIEGO,92128-2410,,813110.0,92128,Unanswered,Unknown/NotStated
AYA LIVING INC,1450 FRAZEE RD SUITE 205,SAN DIEGO,92108,,624120.0,92108,Unanswered,Unknown/NotStated
"WORKING ALTERNATIVES, INC",3465 CAMINO DEL RIO S SUITE 240,SAN DIEGO,92108-3900,,624229.0,92108,White,Not Hispanic or Latino
BRAD L STONER PAINTING INC,9275 Trade Place Suite A,San Diego,92126,,238320.0,92126,Unanswered,Unknown/NotStated
376 5TH LLC,614 5TH AVE. SUITE A,SAN DIEGO,92101,,722511.0,92101,Unanswered,Unknown/NotStated
CESARINA PASTA LLC,4161 Voltaire St,San Diego,92107-1814,,722511.0,92107,Unanswered,Unknown/NotStated
TAYLOR &AMP; POND CORPORATE COMMUNICATIONS,840 5th Ave Fl 3,San Diego,92101,,541613.0,92101,White,Not Hispanic or Latino
AFFORDABLE DRAIN SERVICE INC,8340 Juniper Creek Lane,San Diego,92126,,238220.0,92126,Unanswered,Unknown/NotStated
NAP SAN DIEGO LLC,8701 Siempre Viva Rd,San Diego,92154-6294,,441310.0,92154,Unanswered,Unknown/NotStated
SAINT THERESE CATHOLIC PARISH IN SAN DIEGO CALIFORNIA,6400 Saint Therese Way,San Diego,92120-3018,,813211.0,92120,Unanswered,Unknown/NotStated
SODA & SWINE INC,2943 Adams Ave,San Diego,92116-1509,,722511.0,92116,Unanswered,Not Hispanic or Latino
CARRILLO'S COLLISION REPAIR INC.,3074 ADAMS AVE,SAN DIEGO,92116-1501,,811111.0,92116,Unanswered,Hispanic or Latino
"CENTEXT LEGAL SERVICES, LLC","550 W. C ST., #700",SAN DIEGO,92101-3500,,561492.0,92101,White,Not Hispanic or Latino
MARA LAW FIRM PC,2650 Camino Del Rio N. Ste 205,San Diego,92108,,541110.0,92108,Unanswered,Unknown/NotStated
MISSION EDGE SAN DIEGO,2820 Roosevelt Rd Suite #104,SAN DIEGO,92106-6034,,541611.0,92106,Unanswered,Not Hispanic or Latino
"ACHIEVE INTERNET, INC.",2250  4TH AVE,SAN DIEGO,92101-2112,,541511.0,92101,Unanswered,Not Hispanic or Latino
MISSION EDGE SAN DIEGO,2820 Roosevelt Rd Ste 104,San Diego,92106-6146,,541219.0,92106,Unanswered,Not Hispanic or Latino
GBOD LLC,345 6th Ave,San Diego,92101-7005,,722511.0,92101,Unanswered,Not Hispanic or Latino
CORTECHS LABS INC.,5060 Shoreham Pl Ste 240,San Diego,92122-5977,,541511.0,92122,Unanswered,Unknown/NotStated
BT GROUP INC,12265 EL CAMINO REAL STE 150,SAN DIEGO,92130,,541219.0,92130,Unanswered,Unknown/NotStated
TSA CONSTRUCTION INC,11440 W Bernardo Ct Ste 166,San Diego,92127-1642,,236220.0,92127,Unanswered,Unknown/NotStated
NAP SAN DIEGO LLC,8701 SIEMPRE VIVA RD,SAN DIEGO,92154-6295,,441310.0,92154,Unanswered,Unknown/NotStated
BANYAN TREE EDUCATIONAL SERVICES,2675 Rosecrans St,San Diego,92106-1333,,611110.0,92106,Unanswered,Unknown/NotStated
"INTERPRETERS UNLIMITED, INC.",10650 TREENA ST Ste 308,SAN DIEGO,92131-2433,,541930.0,92131,Asian,Not Hispanic or Latino
DIVING UNLIMITED INTERNATIONAL INC,1148 Delevan Dr,San Diego,92102-2436,,339920.0,92102,Unanswered,Unknown/NotStated
NEVADA LEASE & RENTALS INC,3355 Admiral Boland Way Rm 179,San Diego,92101-1100,Payless Car Rental,532111.0,92101,White,Not Hispanic or Latino
SYSTRAN SOFTWARE INC,4445 Eastgate Mall Ste 310,San Diego,92121-1979,,511210.0,92121,Unanswered,Unknown/NotStated
VEY&APOS;S BANDIT LLC,7625 Panasonic Way,SAN DIEGO,92154,,,92154,Unanswered,Unknown/NotStated
"ARGUS WEST, INC.",7183 NAVAJO RD STE M,SAN DIEGO,92119,,561611.0,92119,Unanswered,Unknown/NotStated
ALKAL TILE INC.,7946 Clairemont Mesa Blvd,San Diego,92111-1617,,444190.0,92111,Unanswered,Not Hispanic or Latino
QUALITY LOAN SERVICE CORPORATION,2763 CAMINO DEL RIO SOUTH,SAN DIEGO,92108-3708,,561491.0,92108,Unanswered,Unknown/NotStated
