naics,naics_description
325991,Custom Compounding of Purchased Resins
326191,Plastics Plumbing Fixture Manufacturing
326121,Unlaminated Plastics Profile Shape Manufacturing
326122,Plastics Pipe and Pipe Fitting Manufacturing
326199,All Other Plastics Product Manufacturing
336612,Boat Building 
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
339113,Surgical Appliance and Supplies Manufacturing
316110,Leather and Hide Tanning and Finishing
316998,All Other Leather Good and Allied Product Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing
339993,"Fastener, Button, Needle, and Pin Manufacturing"
316210,Footwear Manufacturing
316210,Footwear Manufacturing
316210,Footwear Manufacturing
316210,Footwear Manufacturing
314999,All Other Miscellaneous Textile Product Mills
314999,All Other Miscellaneous Textile Product Mills
315210,Cut and Sew Apparel Contractors
315210,Cut and Sew Apparel Contractors
315990,Apparel Accessories and Other Apparel Manufacturing
316998,All Other Leather Good and Allied Product Manufacturing
316992,Women's Handbag and Purse Manufacturing
316998,All Other Leather Good and Allied Product Manufacturing
339910,Jewelry and Silverware Manufacturing
316998,All Other Leather Good and Allied Product Manufacturing
327211,Flat Glass Manufacturing
327213,Glass Container Manufacturing
327212,Other Pressed and Blown Glass and Glassware Manufacturing
327215,Glass Product Manufacturing Made of Purchased Glass
327310,Cement Manufacturing
327120,Clay Building Material and Refractories Manufacturing
327331,Concrete Block and Brick Manufacturing
327120,Clay Building Material and Refractories Manufacturing
327120,Clay Building Material and Refractories Manufacturing
327120,Clay Building Material and Refractories Manufacturing
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing "
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
327331,Concrete Block and Brick Manufacturing
327332,Concrete Pipe Manufacturing
327390,Other Concrete Product Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
327320,Ready-Mix Concrete Manufacturing
327410,Lime Manufacturing
327420,Gypsum Product Manufacturing
327991,Cut Stone and Stone Product Manufacturing
327910,Abrasive Product Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
336340,Motor Vehicle Brake System Manufacturing
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
212324,Kaolin and Ball Clay Mining
212325,Clay and Ceramic and Refractory Minerals Mining
212393,Other Chemical and Fertilizer Mineral Mining
212399,All Other Nonmetallic Mineral Mining
327992,Ground or Treated Mineral and Earth Manufacturing
327993,Mineral Wool Manufacturing
327120,Clay Building Material and Refractories Manufacturing
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
327420,Gypsum Product Manufacturing
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
324199,All Other Petroleum and Coal Products Manufacturing
331110,Iron and Steel Mills and Ferroalloy Manufacturing
331221,Rolled Steel Shape Manufacturing
331110,Iron and Steel Mills and Ferroalloy Manufacturing
331222,Steel Wire Drawing
332618,Other Fabricated Wire Product Manufacturing
331221,Rolled Steel Shape Manufacturing 
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
331511,Iron Foundries
331511,Iron Foundries
331512,Steel Investment Foundries
331513,Steel Foundries (except Investment)
331410,Nonferrous Metal (except Aluminum) Smelting and Refining
331313,Alumina Refining and Primary Aluminum Production
331410,Nonferrous Metal (except Aluminum) Smelting and Refining
331314,Secondary Smelting and Alloying of Aluminum
331420,"Copper Rolling, Drawing, Extruding, and Alloying"
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
331420,"Copper Rolling, Drawing, Extruding, and Alloying"
331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
331318,"Other Aluminum Rolling, Drawing, and Extruding"
331318,"Other Aluminum Rolling, Drawing, and Extruding"
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
331318,"Other Aluminum Rolling, Drawing, and Extruding"
331420,"Copper Rolling, Drawing, Extruding, and Alloying"
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
335921,Fiber Optic Cable Manufacturing
335929,Other Communication and Energy Wire Manufacturing
331523,Nonferrous Metal Die-Casting Foundries
331523,Nonferrous Metal Die-Casting Foundries
331524,Aluminum Foundries (except Die-Casting)
331529,Other Nonferrous Metal Foundries (except Die-Casting)
331529,Other Nonferrous Metal Foundries (except Die-Casting)
332811,Metal Heat Treating
331110,Iron and Steel Mills and Ferroalloy Manufacturing
331221,Rolled Steel Shape Manufacturing 
331314,Secondary Smelting and Alloying of Aluminum
331420,"Copper Rolling, Drawing, Extruding, and Alloying"
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
332618,Other Fabricated Wire Product Manufacturing
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
332431,Metal Can Manufacturing
332439,Other Metal Container Manufacturing
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
332216,Saw Blade and Handtool Manufacturing
332216,Saw Blade and Handtool Manufacturing
332216,Saw Blade and Handtool Manufacturing
332439,Other Metal Container Manufacturing
332510,Hardware Manufacturing
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
332919,Other Metal Valve and Pipe Fitting Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
334519,Other Measuring and Controlling Device Manufacturing
336390,Other Motor Vehicle Parts Manufacturing
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
332913,Plumbing Fixture Fitting and Trim Manufacturing
332919,Other Metal Valve and Pipe Fitting Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
332312,Fabricated Structural Metal Manufacturing
332321,Metal Window and Door Manufacturing
332313,Plate Work Manufacturing
332410,Power Boiler and Heat Exchanger Manufacturing
332420,Metal Tank (Heavy Gauge) Manufacturing 
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
332321,Metal Window and Door Manufacturing
332322,Sheet Metal Work Manufacturing
332439,Other Metal Container Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
332323,Ornamental and Architectural Metal Work Manufacturing
332311,Prefabricated Metal Building and Component Manufacturing
332114,Custom Roll Forming
332312,Fabricated Structural Metal Manufacturing
332323,Ornamental and Architectural Metal Work Manufacturing
332721,Precision Turned Product Manufacturing
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
332111,Iron and Steel Forging
332112,Nonferrous Forging
336370,Motor Vehicle Metal Stamping
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
332439,Other Metal Container Manufacturing
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
339910,Jewelry and Silverware Manufacturing
339910,Jewelry and Silverware Manufacturing
339910,Jewelry and Silverware Manufacturing
332992,Small Arms Ammunition Manufacturing
332993,Ammunition (except Small Arms) Manufacturing
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
332911,Industrial Valve Manufacturing
332912,Fluid Power Valve and Hose Fitting Manufacturing
332613,Spring Manufacturing
332919,Other Metal Valve and Pipe Fitting Manufacturing 
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
332613,Spring Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
332618,Other Fabricated Wire Product Manufacturing
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
322220,Paper Bag and Coated and Treated Paper Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
332996,Fabricated Pipe and Pipe Fitting Manufacturing
332117,Powder Metallurgy Part Manufacturing
332439,Other Metal Container Manufacturing
332510,Hardware Manufacturing
332919,Other Metal Valve and Pipe Fitting Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
336360,Motor Vehicle Seating and Interior Trim Manufacturing
337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
333611,Turbine and Turbine Generator Set Units Manufacturing
333618,Other Engine Equipment Manufacturing
336390,Other Motor Vehicle Parts Manufacturing
332216,Saw Blade and Handtool Manufacturing
332323,Ornamental and Architectural Metal Work Manufacturing
333111,Farm Machinery and Equipment Manufacturing
333922,Conveyor and Conveying Equipment Manufacturing
332216,Saw Blade and Handtool Manufacturing
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
333120,Construction Machinery Manufacturing
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
336510,Railroad Rolling Stock Manufacturing
333131,Mining Machinery and Equipment Manufacturing
333132,Oil and Gas Field Machinery and Equipment Manufacturing 
333921,Elevator and Moving Stairway Manufacturing
333922,Conveyor and Conveying Equipment Manufacturing
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
332439,Other Metal Container Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
333517,Machine Tool Manufacturing
333517,Machine Tool Manufacturing
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
333511,Industrial Mold Manufacturing
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
332216,Saw Blade and Handtool Manufacturing
333515,Cutting Tool and Machine Tool Accessory Manufacturing
333991,Power-Driven Handtool Manufacturing
333519,Rolling Mill and Other Metalworking Machinery Manufacturing
333992,Welding and Soldering Equipment Manufacturing
335311,"Power, Distribution, and Specialty Transformer Manufacturing"
333519,Rolling Mill and Other Metalworking Machinery Manufacturing
333249,Other Industrial Machinery Manufacturing
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
333244,Printing Machinery and Equipment Manufacturing
333241,Food Product Machinery Manufacturing
332410,Power Boiler and Heat Exchanger Manufacturing
333111,Farm Machinery and Equipment Manufacturing
333242,Semiconductor Machinery Manufacturing
333249,Other Industrial Machinery Manufacturing
333249,Other Industrial Machinery Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
332991,Ball and Roller Bearing Manufacturing
333912,Air and Gas Compressor Manufacturing 
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
333993,Packaging Machinery Manufacturing
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
333994,Industrial Process Furnace and Oven Manufacturing
333613,Mechanical Power Transmission Equipment Manufacturing
314999,All Other Miscellaneous Textile Product Mills
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
334111,Electronic Computer Manufacturing
334112,Computer Storage Device Manufacturing
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
333316,Photographic and Photocopying Equipment Manufacturing
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
334613,Blank Magnetic and Optical Recording Media Manufacturing
333316,Photographic and Photocopying Equipment Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
339940,Office Supplies (except Paper) Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing 
336390,Other Motor Vehicle Parts Manufacturing
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
333318,Other Commercial and Service Industry Machinery Manufacturing
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
333995,Fluid Power Cylinder and Actuator Manufacturing
333996,Fluid Power Pump and Motor Manufacturing
333997,Scale and Balance Manufacturing
332710,Machine Shops
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
336390,Other Motor Vehicle Parts Manufacturing
335311,"Power, Distribution, and Specialty Transformer Manufacturing"
335313,Switchgear and Switchboard Apparatus Manufacturing
335312,Motor and Generator Manufacturing
335991,Carbon and Graphite Product Manufacturing
335314,Relay and Industrial Control Manufacturing
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
335220,Major Household Appliance Manufacturing
335220,Major Household Appliance Manufacturing
335220,Major Household Appliance Manufacturing
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
335210,Small Electrical Appliance Manufacturing
339999,All Other Miscellaneous Manufacturing
335210,Small Electrical Appliance Manufacturing
333249,Other Industrial Machinery Manufacturing
335210,Small Electrical Appliance Manufacturing
335220,Major Household Appliance Manufacturing
335110,Electric Lamp Bulb and Part Manufacturing
335931,Current-Carrying Wiring Device Manufacturing
332216,Saw Blade and Handtool Manufacturing
335932,Noncurrent-Carrying Wiring Device Manufacturing 
335121,Residential Electric Lighting Fixture Manufacturing
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
335129,Other Lighting Equipment Manufacturing
334310,Audio and Video Equipment Manufacturing
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
512250,Record Production and Distribution
334210,Telephone Apparatus Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
334290,Other Communications Equipment Manufacturing
334419,Other Electronic Component Manufacturing
334412,Bare Printed Circuit Board Manufacturing
334413,Semiconductor and Related Device Manufacturing
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
334417,Electronic Connector Manufacturing
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
334310,Audio and Video Equipment Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
334419,Other Electronic Component Manufacturing
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
335911,Storage Battery Manufacturing
335912,Primary Battery Manufacturing
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing 
334613,Blank Magnetic and Optical Recording Media Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
333618,Other Engine Equipment Manufacturing
333992,Welding and Soldering Equipment Manufacturing
335129,Other Lighting Equipment Manufacturing
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
336111,Automobile Manufacturing
336112,Light Truck and Utility Vehicle Manufacturing
336120,Heavy Duty Truck Manufacturing
336211,Motor Vehicle Body Manufacturing
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
336211,Motor Vehicle Body Manufacturing
336211,Motor Vehicle Body Manufacturing
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336340,Motor Vehicle Brake System Manufacturing
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
336390,Other Motor Vehicle Parts Manufacturing
336212,Truck Trailer Manufacturing
336213,Motor Home Manufacturing
336411,Aircraft Manufacturing
541713,Research and Development in Nanotechnology
336412,Aircraft Engine and Engine Parts Manufacturing
541713,Research and Development in Nanotechnology 
332912,Fluid Power Valve and Hose Fitting Manufacturing
336411,Aircraft Manufacturing
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
541713,Research and Development in Nanotechnology 
336611,Ship Building and Repairing
488390,Other Support Activities for Water Transportation 
336612,Boat Building
811490,Other Personal and Household Goods Repair and Maintenance
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
336510,Railroad Rolling Stock Manufacturing
336991,"Motorcycle, Bicycle, and Parts Manufacturing"
336414,Guided Missile and Space Vehicle Manufacturing
541713,Research and Development in Nanotechnology 
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
541713,Research and Development in Nanotechnology 
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
541713,Research and Development in Nanotechnology
336214,Travel Trailer and Camper Manufacturing
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
336214,Travel Trailer and Camper Manufacturing
336390,Other Motor Vehicle Parts Manufacturing
336999,All Other Transportation Equipment Manufacturing
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
333249,Other Industrial Machinery Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
333994,Industrial Process Furnace and Oven Manufacturing
333997,Scale and Balance Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
337127,Institutional Furniture Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use "
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
334514,Totalizing Fluid Meter and Counting Device Manufacturing
334514,Totalizing Fluid Meter and Counting Device Manufacturing
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
334516,Analytical Laboratory Instrument Manufacturing
333314,Optical Instrument and Lens Manufacturing
334514,Totalizing Fluid Meter and Counting Device Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
339112,Surgical and Medical Instrument Manufacturing
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
333249,Other Industrial Machinery Manufacturing
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
333994,Industrial Process Furnace and Oven Manufacturing
333997,Scale and Balance Manufacturing
333999,All Other Miscellaneous General Purpose Machinery Manufacturing
337127,Institutional Furniture Manufacturing
339112,Surgical and Medical Instrument Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
322291,Sanitary Paper Product Manufacturing
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
339999,All Other Miscellaneous Manufacturing
339114,Dental Equipment and Supplies Manufacturing
334517,Irradiation Apparatus Manufacturing
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
334517,Irradiation Apparatus Manufacturing
339113,Surgical Appliance and Supplies Manufacturing 
339115,Ophthalmic Goods Manufacturing
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing"
333316,Photographic and Photocopying Equipment Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
339910,Jewelry and Silverware Manufacturing
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
339910,Jewelry and Silverware Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
339910,Jewelry and Silverware Manufacturing
339992,Musical Instrument Manufacturing
339930,"Doll, Toy, and Game Manufacturing"
336991,"Motorcycle, Bicycle, and Parts Manufacturing"
339930,"Doll, Toy, and Game Manufacturing"
339920,Sporting and Athletic Goods Manufacturing
339940,Office Supplies (except Paper) Manufacturing
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
337127,Institutional Furniture Manufacturing
339940,Office Supplies (except Paper) Manufacturing
339940,Office Supplies (except Paper) Manufacturing
339940,Office Supplies (except Paper) Manufacturing
339910,Jewelry and Silverware Manufacturing
339993,"Fastener, Button, Needle, and Pin Manufacturing"
339993,"Fastener, Button, Needle, and Pin Manufacturing"
339994,"Broom, Brush, and Mop Manufacturing"
323113,Commercial Screen Printing
339950,Sign Manufacturing
339995,Burial Casket Manufacturing
326199,All Other Plastics Product Manufacturing
316110,Leather and Hide Tanning and Finishing
321999,All Other Miscellaneous Wood Product Manufacturing
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
326199,All Other Plastics Product Manufacturing 
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
332216,Saw Blade and Handtool Manufacturing
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
333318,Other Commercial and Service Industry Machinery Manufacturing
335121,Residential Electric Lighting Fixture Manufacturing
335210,Small Electrical Appliance Manufacturing
336612,Boat Building
337127,Institutional Furniture Manufacturing
339930,"Doll, Toy, and Game Manufacturing"
339999,All Other Miscellaneous Manufacturing
482111,Line-Haul Railroads
482112,Short Line Railroads
488210,Support Activities for Rail Transportation
485111,Mixed Mode Transit Systems
485112,Commuter Rail Systems
485113,Bus and Other Motor Vehicle Transit Systems
485119,Other Urban Transit Systems
485999,All Other Transit and Ground Passenger Transportation
485320,Limousine Service
485410,School and Employee Bus Transportation
485991,Special Needs Transportation
485999,All Other Transit and Ground Passenger Transportation
487110,"Scenic and Sightseeing Transportation, Land"
621910,Ambulance Services
485310,Taxi Service
485210,Interurban and Rural Bus Transportation
485510,Charter Bus Industry
485510,Charter Bus Industry
485410,School and Employee Bus Transportation
488490,Other Support Activities for Road Transportation
484110,"General Freight Trucking, Local"
484210,Used Household and Office Goods Moving
484220,"Specialized Freight (except Used Goods) Trucking, Local"
562111,Solid Waste Collection
562112,Hazardous Waste Collection
562119,Other Waste Collection 
484121,"General Freight Trucking, Long-Distance, Truckload"
484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
484210,Used Household and Office Goods Moving
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
484110,"General Freight Trucking, Local"
484210,Used Household and Office Goods Moving
484220,"Specialized Freight (except Used Goods) Trucking, Local"
492110,Couriers and Express Delivery Services
492210,Local Messengers and Local Delivery
493130,Farm Product Warehousing and Storage
493120,Refrigerated Warehousing and Storage
493110,General Warehousing and Storage
531130,Lessors of Miniwarehouses and Self- Storage Units
493110,General Warehousing and Storage
493120,Refrigerated Warehousing and Storage
493190,Other Warehousing and Storage
488490,Other Support Activities for Road Transportation
491110,Postal Service
483111,Deep Sea Freight Transportation
483113,Coastal and Great Lakes Freight Transportation
483113,Coastal and Great Lakes Freight Transportation
483211,Inland Water Freight Transportation
483112,Deep Sea Passenger Transportation 
483114,Coastal and Great Lakes Passenger Transportation
483114,Coastal and Great Lakes Passenger Transportation
483212,Inland Water Passenger Transportation
483212,Inland Water Passenger Transportation
487210,"Scenic and Sightseeing Transportation, Water"
488310,Port and Harbor Operations
488320,Marine Cargo Handling
488330,Navigational Services to Shipping
713930,Marinas
483211,Inland Water Freight Transportation
488310,Port and Harbor Operations
488330,Navigational Services to Shipping
488390,Other Support Activities for Water Transportation 
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
541990,"All Other Professional, Scientific, and Technical Services"
481111,Scheduled Passenger Air Transportation
481112,Scheduled Freight Air Transportation
492110,Couriers and Express Delivery Services
481211,Nonscheduled Chartered Passenger Air Transportation
481212,Nonscheduled Chartered Freight Air Transportation
481219,Other Nonscheduled Air Transportation
487990,"Scenic and Sightseeing Transportation, Other"
621910,Ambulance Services
488111,Air Traffic Control
488119,Other Airport Operations
488190,Other Support Activities for Air Transportation
561720,Janitorial Services
811420,Reupholstery and Furniture Repair
486110,Pipeline Transportation of Crude Oil
486910,Pipeline Transportation of Refined Petroleum Products
486990,All Other Pipeline Transportation
561510,Travel Agencies
561520,Tour Operators
488999,All Other Support Activities for Transportation
561599,All Other Travel Arrangement and Reservation Services
488510,Freight Transportation Arrangement
541614,"Process, Physical Distribution, and Logistics Consulting Services"
488210,Support Activities for Rail Transportation
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
488991,Packing and Crating
488390,Other Support Activities for Water Transportation
488490,Other Support Activities for Road Transportation
487110,"Scenic and Sightseeing Transportation, Land"
488210,Support Activities for Rail Transportation
488999,All Other Support Activities for Transportation
722310,Food Service Contractors
517312,Wireless Telecommunications Carriers (except Satellite) 
517911,Telecommunications Resellers
517311,Wired Telecommunications Carriers
517911,Telecommunications Resellers
517311,Wired Telecommunications Carriers
515111,Radio Networks
515112,Radio Stations
515120,Television Broadcasting
515210,Cable and Other Subscription Programming
517311,Wired Telecommunications Carriers
485310,Taxi Service
517312,Wireless Telecommunications Carriers (except Satellite)
517410,Satellite Telecommunications
517919,All Other Telecommunications
812990,All Other Personal Services
221111,Hydroelectric Power Generation
221112,Fossil Fuel Electric Power Generation
221113,Nuclear Electric Power Generation
221114,Solar Electric Power Generation
221115,Wind Electric Power Generation
221116,Geothermal Electric Power Generation
221117,Biomass Electric Power Generation
221118,Other Electric Power Generation
221121,Electric Bulk Power Transmission and Control
221122,Electric Power Distribution
486210,Pipeline Transportation of Natural Gas
221210,Natural Gas Distribution
486210,Pipeline Transportation of Natural Gas
221210,Natural Gas Distribution
221210,Natural Gas Distribution
221111,Hydroelectric Power Generation
221112,Fossil Fuel Electric Power Generation
221113,Nuclear Electric Power Generation
221114,Solar Electric Power Generation
221115,Wind Electric Power Generation
221116,Geothermal Electric Power Generation
221117,Biomass Electric Power Generation
221118,Other Electric Power Generation
221121,Electric Bulk Power Transmission and Control
221122,Electric Power Distribution
221210,Natural Gas Distribution
221210,Natural Gas Distribution
221111,Hydroelectric Power Generation
221112,Fossil Fuel Electric Power Generation
221113,Nuclear Electric Power Generation
221114,Solar Electric Power Generation
221115,Wind Electric Power Generation
221116,Geothermal Electric Power Generation
221117,Biomass Electric Power Generation 
221118,Other Electric Power Generation
221121,Electric Bulk Power Transmission and Control
221122,Electric Power Distribution
221210,Natural Gas Distribution
221310,Water Supply and Irrigation Systems
221320,Sewage Treatment Facilities
562211,Hazardous Waste Treatment and Disposal
562212,Solid Waste Landfill
562213,Solid Waste Combustors and Incinerators
562219,Other Nonhazardous Waste Treatment and Disposal
562920,Materials Recovery Facilities
488119,Other Airport Operations
488490,Other Support Activities for Road Transportation
561710,Exterminating and Pest Control Services
561790,Other Services to Buildings and Dwellings
562910,Remediation Services
562998,All Other Miscellaneous Waste Management Services
221330,Steam and Air-Conditioning Supply
221310,Water Supply and Irrigation Systems
423110,Automobile and Other Motor Vehicle Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
441310,Automotive Parts and Accessories Stores
423130,Tire and Tube Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
441320,Tire Dealers
